date,close,high,low,volume
2020-04-02,2780.64,2780.64,2719.9,217864608.0
2020-04-03,2763.99,2780.59,2754.07,200837408.0
2020-04-07,2820.76,2823.28,2801.84,270198176.0
2020-04-08,2815.37,2823.21,2800.3,243515312.0
2020-04-09,2825.9,2832.4,2820.43,238184848.0
2020-04-10,2796.63,2833.02,2789.98,233454768.0
2020-04-13,2783.05,2792.89,2774.08,177124560.0
2020-04-14,2827.28,2827.3,2789.43,202696576.0
2020-04-15,2811.17,2829.75,2808.7,205621152.0
2020-04-16,2819.94,2823.34,2796.84,203003776.0
2020-04-17,2838.49,2854.96,2830.02,245736752.0
2020-04-20,2852.55,2852.99,2833.26,211847072.0
2020-04-21,2827.01,2842.24,2808.02,233235872.0
2020-04-22,2843.98,2843.98,2808.48,217320000.0
2020-04-23,2838.5,2853.64,2835.9,248779040.0
2020-04-24,2808.53,2834.94,2802.5,235185072.0
2020-04-27,2815.49,2832.67,2802.96,210130976.0
2020-04-28,2810.02,2821.75,2758.25,253872752.0
2020-04-29,2822.44,2831.76,2800.74,202061808.0
2020-04-30,2860.08,2865.59,2832.38,242455280.0
2020-05-06,2878.14,2879.26,2830.65,249826624.0
2020-05-07,2871.52,2882.02,2864.58,226736960.0
2020-05-08,2895.34,2903.8,2879.2,226822080.0
2020-05-11,2894.8,2914.28,2884.38,225120416.0
2020-05-12,2891.56,2897.9,2871.23,197082992.0
2020-05-13,2898.05,2900.26,2875.54,185061312.0
2020-05-14,2870.34,2887.06,2869.18,197776208.0
2020-05-15,2868.46,2884.22,2863.37,188983584.0
2020-05-18,2875.42,2889.98,2862.27,226022880.0
2020-05-19,2898.58,2900.22,2887.58,197222400.0
2020-05-20,2883.74,2896.47,2876.18,210519984.0
2020-05-21,2867.92,2891.52,2864.21,203532032.0
2020-05-22,2813.77,2863.05,2808.02,209063712.0
2020-05-25,2817.97,2821.5,2802.47,172885552.0
2020-05-26,2846.55,2848.34,2825.9,174562368.0
2020-05-27,2836.8,2849.0,2831.93,198149344.0
2020-05-28,2846.22,2861.92,2820.15,207546016.0
2020-05-29,2852.35,2855.38,2829.63,206792800.0
2020-06-01,2915.43,2917.15,2871.96,260196048.0
2020-06-02,2921.4,2926.36,2909.13,256108048.0
2020-06-03,2923.37,2942.76,2922.66,255663984.0
2020-06-04,2919.25,2932.97,2910.75,226605872.0
2020-06-05,2930.8,2930.8,2909.12,217360672.0
2020-06-08,2937.77,2950.07,2934.21,231124352.0
2020-06-09,2956.11,2957.12,2932.94,209048592.0
2020-06-10,2943.75,2951.33,2934.84,207925968.0
2020-06-11,2920.9,2952.65,2912.19,233722944.0
2020-06-12,2919.74,2930.26,2872.62,236008640.0
2020-06-15,2890.03,2922.54,2890.03,243205040.0
2020-06-16,2931.75,2931.78,2909.13,223313072.0
2020-06-17,2935.87,2936.62,2919.04,234654384.0
2020-06-18,2939.32,2942.9,2920.11,258691376.0
2020-06-19,2967.63,2973.32,2935.82,264313968.0
2020-06-22,2965.27,2983.44,2959.04,267883840.0
2020-06-23,2970.62,2972.4,2949.85,225212208.0
2020-06-24,2979.55,2982.94,2971.22,213200736.0
2020-06-29,2961.52,2977.91,2951.77,220622736.0
2020-06-30,2984.67,2990.83,2965.11,214957216.0
2020-07-01,3025.98,3026.19,2984.98,273313152.0
2020-07-02,3090.57,3092.44,3021.67,391128000.0
2020-07-03,3152.81,3152.81,3104.0,458793856.0
2020-07-06,3332.88,3337.27,3187.84,643878912.0
2020-07-07,3345.34,3407.08,3336.24,657840128.0
2020-07-08,3403.44,3421.53,3327.71,587081664.0
2020-07-09,3450.59,3456.97,3393.64,620001792.0
2020-07-10,3383.32,3433.11,3372.51,556120000.0
2020-07-13,3443.29,3458.79,3369.04,558006848.0
2020-07-14,3414.62,3451.22,3366.08,543211520.0
2020-07-15,3361.3,3432.45,3345.75,492030528.0
2020-07-16,3210.1,3373.53,3209.73,490613120.0
2020-07-17,3214.13,3252.78,3181.27,359652416.0
2020-07-20,3314.15,3314.15,3220.68,418555296.0
2020-07-21,3320.89,3336.68,3300.57,359252032.0
2020-07-22,3333.16,3381.98,3311.79,393335328.0
2020-07-23,3325.11,3336.3,3257.83,407042496.0
2020-07-24,3196.77,3319.13,3184.96,427054016.0
2020-07-27,3205.23,3221.98,3174.66,299319008.0
2020-07-28,3227.96,3245.3,3208.49,289377856.0
2020-07-29,3294.55,3294.55,3209.99,324924064.0
2020-07-30,3286.82,3312.45,3282.16,340704128.0
2020-07-31,3310.01,3333.79,3261.61,353758976.0
2020-08-03,3367.97,3368.1,3327.68,407460864.0
2020-08-04,3371.69,3391.07,3352.5,442328544.0
2020-08-05,3377.56,3383.64,3333.88,385823040.0
2020-08-06,3386.46,3392.7,3334.33,415302496.0
2020-08-07,3354.04,3374.13,3307.71,403929632.0
2020-08-10,3379.25,3399.93,3335.04,381379616.0
2020-08-11,3340.29,3409.06,3336.09,400452704.0
2020-08-12,3319.27,3335.73,3263.27,378328960.0
2020-08-13,3320.73,3338.15,3309.46,324291264.0
2020-08-14,3360.1,3362.03,3302.74,305998368.0
2020-08-17,3438.8,3450.9,3369.37,434598272.0
2020-08-18,3451.09,3456.72,3432.64,380729280.0
2020-08-19,3408.13,3454.46,3406.16,405722208.0
2020-08-20,3363.9,3394.56,3352.78,335600992.0
2020-08-21,3380.68,3393.92,3358.0,287488352.0
2020-08-24,3385.64,3396.57,3368.03,266227840.0
2020-08-25,3373.58,3408.87,3364.16,277113408.0
2020-08-26,3329.74,3382.6,3320.14,294451040.0
2020-08-27,3350.11,3351.83,3312.99,237099360.0
2020-08-28,3403.81,3405.88,3339.65,271325536.0
2020-08-31,3395.68,3442.74,3395.47,323473888.0
2020-09-01,3410.61,3410.61,3381.71,246999248.0
2020-09-02,3404.8,3421.4,3377.21,261546320.0
2020-09-03,3384.98,3425.63,3374.26,255346272.0
2020-09-04,3355.37,3360.11,3328.55,221636544.0
2020-09-07,3292.59,3368.24,3285.63,260616560.0
2020-09-08,3316.42,3324.39,3276.44,271066272.0
2020-09-09,3254.63,3289.61,3238.56,351509760.0
2020-09-10,3234.82,3285.47,3227.64,312472800.0
2020-09-11,3260.35,3262.5,3220.54,221698832.0
2020-09-14,3278.81,3283.53,3261.15,213924144.0
2020-09-15,3295.68,3297.69,3263.75,197684400.0
2020-09-16,3283.92,3302.46,3271.08,200443360.0
2020-09-17,3270.44,3290.41,3248.5,202931968.0
2020-09-18,3338.09,3338.32,3268.53,256260784.0
2020-09-21,3316.94,3350.59,3313.07,216503088.0
